Adjective,Subject,mu,sigma
late,123,0.0076959334195875,0.13283778986
late,143,-0.251650448,0.204859229355625
late,151,-0.548183842,0.10777352426675
late,161,0.06760899172211875,0.38857235973875
late,181,-0.406056858125,0.160629044558125
late,192,-0.8438387230625,0.32684193870625
late,202,-0.20556911043125,0.216882857116875
late,223,-0.2386991337935625,0.2235814040125
late,237,-0.548102749375,0.108187938046875
late,247,-0.6654048896875,0.09436750645625
late,257,-0.15709329243368125,0.27662494135625
late,284,-0.290998111625,0.1915464257875
late,306,-0.5494818451875,0.10850252977125
late,313,0.0072467945307662495,0.1326593538519375
late,337,-0.345728894625,0.20274173413875
late,364,0.15679200752544376,0.125594211882375
spicy,20,-0.5692845210625,0.22552380391875
spicy,48,-0.13063053007735,0.36592537
spicy,49,0.100282844870375,0.456999006
spicy,70,-0.5490671743125,0.240381126975
spicy,75,0.14174950182891874,0.7979471154375
spicy,82,-0.6152200295625,0.2073453570375
spicy,95,-0.12272725535775812,0.39524970565625
spicy,113,-0.4828836669375,0.22604318818125
spicy,125,0.16759513426295,0.34923315359375
spicy,126,-0.0600235207005125,0.39690161025
spicy,130,0.05335569729642437,0.39464114983125
spicy,131,-0.04019732079922,0.40460281725
spicy,148,-0.059489895475519375,0.3975526428125
spicy,155,-0.48831443375,0.25902659815
spicy,168,0.10073975614525,0.4564444393125
spicy,180,0.01683941927002681,0.42881919485625
